slide_id,true,pred,entropy,max_confidence,var_mean,probs
o-3-00-01,mdoscc,mdoscc,1.0914172,0.3894082009792328,0.0005216034478507936,"[0.3147914409637451, 0.3894082009792328, 0.2958003282546997]"
o-3-00-02,mdoscc,wdoscc,1.0398071,0.4338439404964447,0.0005819001235067844,"[0.4338439404964447, 0.38427647948265076, 0.18187959492206573]"
o-3-00-03,mdoscc,wdoscc,1.0578341,0.4103458523750305,0.0005945931770838797,"[0.4103458523750305, 0.38474756479263306, 0.2049066126346588]"
o-3-00-04,mdoscc,pdoscc,1.0901809,0.37635964155197144,0.000408563413657248,"[0.27504411339759827, 0.34859633445739746, 0.37635964155197144]"
o-3-00-05,mdoscc,mdoscc,1.0875688,0.3972982168197632,0.000493826053570956,"[0.3264526426792145, 0.3972982168197632, 0.2762492597103119]"
o-3-00-06,mdoscc,pdoscc,1.0435717,0.47270017862319946,0.0006302911788225174,"[0.2040708065032959, 0.3232290744781494, 0.47270017862319946]"
o-3-00-07,mdoscc,wdoscc,1.0728023,0.4245460033416748,0.0006858284468762577,"[0.4245460033416748, 0.33496004343032837, 0.24049392342567444]"
o-3-00-08,mdoscc,mdoscc,1.0484376,0.4200591444969177,0.0007797926664352417,"[0.38807833194732666, 0.4200591444969177, 0.19186252355575562]"
o-3-00-09,mdoscc,wdoscc,1.069901,0.38803645968437195,0.0005391411832533777,"[0.38803645968437195, 0.3877912759780884, 0.22417226433753967]"
o-3-00-10,mdoscc,wdoscc,1.0784178,0.40282973647117615,0.0005413303733803332,"[0.40282973647117615, 0.35212212800979614, 0.24504809081554413]"
o-3-00-11,mdoscc,mdoscc,1.0924037,0.3745638132095337,0.0006161038181744516,"[0.2850244641304016, 0.3745638132095337, 0.3404117226600647]"
o-3-00-12,mdoscc,wdoscc,1.0505744,0.4214901030063629,0.0006210699211806059,"[0.4214901030063629, 0.3833693563938141, 0.1951405107975006]"
o-3-00-13,mdoscc,mdoscc,1.0648675,0.3967534899711609,0.00033940619323402643,"[0.2154865711927414, 0.3967534899711609, 0.3877599835395813]"
o-3-00-14,mdoscc,mdoscc,1.0915327,0.3884231448173523,0.0005564854363910854,"[0.31708765029907227, 0.3884231448173523, 0.29448920488357544]"
o-3-00-15,mdoscc,wdoscc,1.003762,0.4816323220729828,0.0007179930689744651,"[0.4816323220729828, 0.3689815402030945, 0.14938613772392273]"
o-3-00-16,mdoscc,pdoscc,1.0755899,0.4080736041069031,0.00031735425000078976,"[0.23946483433246613, 0.3524615168571472, 0.4080736041069031]"
o-3-00-17,mdoscc,pdoscc,1.0651424,0.43476325273513794,0.0004564634582493454,"[0.22639226913452148, 0.33884453773498535, 0.43476325273513794]"
o-3-00-18,mdoscc,mdoscc,1.0952603,0.3579331636428833,0.0005179214640520513,"[0.3463987708091736, 0.3579331636428833, 0.2956680655479431]"
o-3-00-19,mdoscc,mdoscc,1.0958867,0.3680838942527771,0.0004586490395013243,"[0.3118991255760193, 0.3680838942527771, 0.3200169503688812]"
o-3-00-20,mdoscc,mdoscc,1.0785058,0.39987412095069885,0.00043142898357473314,"[0.35584431886672974, 0.39987412095069885, 0.244281604886055]"
o-3-00-21,mdoscc,pdoscc,1.033997,0.4887230396270752,0.0003981438931077719,"[0.1976136565208435, 0.31366339325904846, 0.4887230396270752]"
o-3-00-22,mdoscc,mdoscc,1.046835,0.42375048995018005,0.0006189040723256767,"[0.3862055242061615, 0.42375048995018005, 0.19004397094249725]"
o-3-00-23,mdoscc,wdoscc,1.0465102,0.44427233934402466,0.0006417487165890634,"[0.44427233934402466, 0.3615725338459015, 0.19415511190891266]"
o-3-00-24,mdoscc,wdoscc,1.0093491,0.46181148290634155,0.0005795310134999454,"[0.46181148290634155, 0.38749486207962036, 0.1506936103105545]"
o-3-00-25,mdoscc,wdoscc,1.0843527,0.37468692660331726,0.0005384592805057764,"[0.37468692660331726, 0.36974966526031494, 0.255563348531723]"
o-3-00-26,mdoscc,pdoscc,1.0863464,0.3882519602775574,0.0006626402027904987,"[0.2643857002258301, 0.34736233949661255, 0.3882519602775574]"
o-3-00-27,mdoscc,mdoscc,1.0827155,0.3748355507850647,0.0003722304536495358,"[0.2512948513031006, 0.3748355507850647, 0.3738695979118347]"
o-3-00-28,mdoscc,pdoscc,1.0842971,0.37943515181541443,0.0006147520034573972,"[0.2557537853717804, 0.36481109261512756, 0.37943515181541443]"
o-3-00-29,mdoscc,wdoscc,1.0237212,0.4386816620826721,0.000595351739320904,"[0.4386816620826721, 0.39840859174728394, 0.16290971636772156]"
o-3-00-30,mdoscc,pdoscc,1.005664,0.47589653730392456,0.00059337611310184,"[0.1498793214559555, 0.3742240369319916, 0.47589653730392456]"
o-3-00-31,mdoscc,mdoscc,1.0965141,0.3640826344490051,0.0005683980416506529,"[0.3186036944389343, 0.3640826344490051, 0.31731361150741577]"
o-3-00-32,mdoscc,mdoscc,1.0835531,0.38295257091522217,0.0006729061715304852,"[0.36292484402656555, 0.38295257091522217, 0.2541225850582123]"
o-3-00-33,mdoscc,mdoscc,1.0930988,0.3663458228111267,0.0006881945882923901,"[0.3481360971927643, 0.3663458228111267, 0.28551816940307617]"
o-3-00-34,mdoscc,mdoscc,1.0898867,0.38087597489356995,0.0007389660459011793,"[0.27553069591522217, 0.38087597489356995, 0.3435933589935303]"
o-3-00-35,mdoscc,wdoscc,1.0569868,0.42672210931777954,0.0005949446349404752,"[0.42672210931777954, 0.3668500781059265, 0.20642785727977753]"
o-3-00-36,mdoscc,mdoscc,1.0798051,0.41807812452316284,0.0006053274846635759,"[0.2603970170021057, 0.41807812452316284, 0.3215249180793762]"
o-3-00-37,mdoscc,mdoscc,1.0649307,0.39984214305877686,0.0004424817452672869,"[0.3843977749347687, 0.39984214305877686, 0.21576011180877686]"
o-3-00-38,mdoscc,mdoscc,1.058296,0.4586876332759857,0.0010385531932115555,"[0.22834070026874542, 0.4586876332759857, 0.31297168135643005]"
o-3-00-39,mdoscc,mdoscc,1.0865169,0.38456854224205017,0.0006505072233267128,"[0.26367735862731934, 0.38456854224205017, 0.3517541289329529]"
o-3-00-40,mdoscc,wdoscc,1.0313209,0.4601201117038727,0.0005755944876000285,"[0.4601201117038727, 0.363150954246521, 0.17672893404960632]"
o-3-00-41,mdoscc,wdoscc,1.025573,0.43691158294677734,0.0006435710820369422,"[0.43691158294677734, 0.3982822299003601, 0.16480618715286255]"
o-3-00-42,mdoscc,wdoscc,1.0124247,0.4742584228515625,0.000592223834246397,"[0.4742584228515625, 0.36866992712020874, 0.15707165002822876]"
o-4-00-01,pdoscc,mdoscc,1.0869412,0.37067630887031555,0.0005866880528628826,"[0.2627987265586853, 0.37067630887031555, 0.36652493476867676]"
o-4-00-02,pdoscc,mdoscc,1.0825449,0.4141058325767517,0.0007232787902466953,"[0.3164275288581848, 0.4141058325767517, 0.26946669816970825]"
o-4-00-03,pdoscc,pdoscc,1.0699105,0.44764965772628784,0.0003206963010597974,"[0.26324573159217834, 0.2891046404838562, 0.44764965772628784]"
o-4-00-04,pdoscc,pdoscc,1.0549498,0.4723864495754242,0.0005117725813761353,"[0.23874008655548096, 0.28887343406677246, 0.4723864495754242]"
o-4-00-05,pdoscc,mdoscc,1.0957569,0.3552108407020569,0.0007428958197124302,"[0.29838576912879944, 0.3552108407020569, 0.3464033305644989]"
o-4-00-06,pdoscc,pdoscc,0.9940191,0.5442465543746948,0.00046245535486377776,"[0.17776253819465637, 0.2779908776283264, 0.5442465543746948]"
o-4-00-07,pdoscc,pdoscc,1.0151653,0.5268753170967102,0.0004087506968062371,"[0.20405332744121552, 0.26907140016555786, 0.5268753170967102]"
